docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	block	norton	nortonshort	heath
uc1.32106008497825	Anaya, Rudolfo A	Anaya, Rudolfo A		1978	1978	s	1978	    	Berkeley, CA.|Tonatiuh International|1972, 1978 printing.	1972		NotFiction				19460098.0	   	323424	4	4	4			Bless me, Ultima; | a novel.		True	Bless me, Ultima; a novel	an	True	False	False
pst.000033668543	Crane, Stephen	Crane, Stephen	1871-1900.	1982	1900	r	1982	uuuu	Mankato, Minn.|Creative Education, Inc.|c1982.	1982		NotFiction				8747948.0	xxu	7496732	1	1	1	1982		The bride comes to yellow sky / | $c: Stephen Crane ; illustrated by V. Courtlandt Johnson.		False	The bride comes to yellow sky	cr	False	False	True
pst.000033669212	Crane, Stephen	Crane, Stephen	1871-1900.	1982	1900	r	1982	uuuu	Mankato, Minn.|Creative Education, Inc.|c1982.	1982		NotFiction			PS1449.C85O64 1982	8747937.0	xxu	7496733	1	1	1	1982		The open boat / | $c: Stephen Crane ; illustrated by V. Courtlandt Johnson.		False	The open boat	cr	True	False	True
mdp.39015010832841	Erdrich, Louise	Erdrich, Louise		1984	1984	s	1984	    	Toronto|New York|Bantam Books|c1984.	1984		Fiction	Indians of North America|North Dakota|Fiction			10483004.0	onc	355702	1	1	1			Love medicine : | a novel / | $c: by Louise Erdrich.		True	Love medicine : a novel	er	False	False	True
uc1.32106014299538	Kingston, Maxine Hong	Kingston, Maxine Hong		1989	1989	s	1989	    	New York|Knopf|Distributed by Random House|1989.	1989	1st ed.	Fiction	Fiction|Chinese Americans			18521694.0	nyu	1300275	1	1	1			Tripmaster monkey : | his fake book / | $c: Maxine Hong Kingston.		True	Tripmaster monkey : his fake book	ki	True	False	False
uc1.32106010927223	Tan, Amy	Tan, Amy		1989	1989	s	1989	    	New York|Putnam|c1989.	1989		Fiction	United States|Fiction|Chinese Americans|Mothers and daughters		PS3570.A48J6 1989	18464018.0	nyu	1541408	2	2	2			The Joy Luck Club / | $c: Amy Tan.		True	The Joy Luck Club	ta	True	False	False
mdp.39015054067759	O'Brien, Tim	O'Brien, Tim	1946-	1990	1990	s	1990	    	Boston|Houghton Mifflin|1990.	1990		Fiction			PS3565.B75T48 1990	20355671.0	mau	1949975	1	1	1			The things they carried : | a work of fiction / | $c: by Tim O'Brien.		True	The things they carried : a work of fiction	o'	False	True	False
mdp.39015021828283	Cisneros, Sandra	Cisneros, Sandra		1991	1991	s	1991	    	New York|Random House|c1991.	1991	1st ed.	Fiction	Mexican Americans|Fiction	Mexican-American Border Region	PS3553.I78W66 1991	22662291.0	nyu	2466513	1	1	1			Woman hollering creek, and other stories / | $c: Sandra Cisneros.		True	Woman hollering creek, and other stories	ci	True	False	False
mdp.39015032811435	Gilman, Charlotte Perkins	Gilman, Charlotte Perkins	1860-1935.	1994	1935	s	1994	    	Newark|University of Delaware Press|London|Associated University Presses|c1994.	1994		Bibliographies|Fiction	United States|Women|Fiction		PS1744.G57A6 1994	28294836.0	deu	2797906	1	1	1			"""The yellow wall-paper"" and selected stories of Charlotte Perkins Gilman / | $c: edited and with an introduction by Denise D. Knight."		False	"""The yellow wall-paper"" and selected stories of Charlotte Perkins Gilman"	gi	True	False	True
mdp.39015040577028	Yamashita, Karen Tei	Yamashita, Karen Tei	1951-	1997	1997	s	1997	    	Minneapolis|Coffee House Press|Saint Paul, MN|Distributed by Consortium Book Sales & Distribution|1997.	1997		Fiction|Fantastic fiction	Reporters and reporting|Fiction|Social conflict|California|Los Angeles|Executives		PS3575.A44T76 1997	36961003.0	mnu	3948055	1	1	1			Tropic of orange : | a novel / | $c: by Karen Tei Yamashita.		True	Tropic of orange : a novel	ya	False	False	True
mdp.39015074227961	Melville, Herman	Melville, Herman	1819-1891.	2007	1891	s	2007	    	London|Hesperus Press|2007.	2007	Bartleby the scrivener - Benito Cereno.	Psychological fiction|Bibliographies|Fiction	Copyists|Fiction|Young men	New York (N.Y.)|Wall Street (New York, N.Y.)	PS2384.B26 2007	85898290.0	enk	5636238	1	1	1			Bartleby the scrivener, and, Benito Cereno / | $c: Herman Melville ; foreword by Patrick McGrath.		False	Bartleby the scrivener, and, Benito Cereno	me	True	False	True
