AUTHOR_TITLE,COUNT
donald barthelme the emerald,2
jamaica kincaid garden book,2
jack kerouac big sur,2
sarah winnemucca among the paiutes,2
meridel lesueur the girl,2
toni cade bambara of the walls,2
john wideman the cattle killing,2
kurt vonnegut galapagos,2
isaac singer magician of lublin,2
david foster wallace girl with curious,2
caroline lee hentz planter's northern bride,2
mary mccarthy birds of america,1
tobias wolff the barracks thief,1
robert penn warren black rider,1
jupiter hammon to the negroes,1
kay boyle the next bride,1
george copway the traditional history,1
amy tan kitchen god's wife,1
sui sin far the mental portfolio,1
gish jen typical american,1
annie proulx the shipping news,1
catherine maria sedgwick clarence,1
meridel lesueur north star country,1
charles alexander eastman old indian days,1
grace paley long walks and,1
george schuyler ethiopian stories,1
david foster wallace broom of the,1
fanny fern fanny ford,1
toni cade bambara the sea birds are,1
mary mccarthy cannibals and missionaries,1
grace paley disturbances of man,1
caroline kirkland forest life,1
isaac singer crown of feathers,1
hamlin garland of the third house,1
catherine maria sedgwick the linwoods,1
john oskison problem of old,1
hendrick aupaumut narration,1
