"docid"	"earliestdate"	"actualdate"	"tags"	"author"	"title"	"gender"	"nationality"	"authsvols"	"lastname"
"nc01.ark+=13960=t1gh9wn1r"	1870	1870	"vulgar"	"Chaplin, Jane Dunbar"	"Out of the wilderness"	"f"	"us"	4	"Chaplin"
"uva.x030765011"	1871	1873	"elite"	"Poynter, E. Frances"	"My little lady"	"f"	"uk"	7	"Poynter"
"uc2.ark+=13960=t7cr5nx0k"	1871	1871	"elite"	"Eggleston, Edward"	"The Hoosier school-master"	"m"	"us"	52	"Eggleston"
"uc1.$b809207"	1871	1871	"elite"	"Harris, Miriam Coles"	"Richard Vandermarck"	"f"	"us"	41	"Harris"
"njp.32101069165684"	1871	1871	"vulgar"	"Edwards, C. R"	"A story of Niagara"	"m"	"us"	1	"Edwards"
"uc2.ark+=13960=t5db83h0b"	1871	1872	"elite"	"Parr, Louisa Taylor"	"Dorothy Fox"	"f"	"uk"	2	"Parr"
"nc01.ark+=13960=t8mc9bp1c"	1871	1871	"elite"	"De Forest, John William"	"Overland"	"m"	"us"	14	"De"
"uc2.ark+=13960=t3vt1j63s"	1871	1871	"vulgar"	"Leavitt, John McDowell"	"The American cardinal"	"m"	"us"	8	"Leavitt"
"uiuo.ark+=13960=t73v07t79"	1871	1871	"elite"	"Yates, Edmund Hodgson"	"Dr. Wainwright's patient"	"m"	"uk"	44	"Yates"
"uc2.ark+=13960=t48p5zc15"	1871	1871	"vulgar"	"Volckhausen, Adeline"	"Why did he not die?, or, The Child from the Ebräergang"	"f"	"german"	2	"Volckhausen"
"nyp.33433034394472"	1871	1871	"elite"	"Ward, Elizabeth Stuart Phelps"	"The gates ajar; or, A glimpse into heaven"	"f"	"us"	3	"Ward"
"uiuo.ark+=13960=t1fj3570z"	1871	1871	"elite"	"Eliot, George"	"Middlemarch: a study of provincial life"	"f"	"uk"	562	"Eliot"
"uiuo.ark+=13960=t8hd8hf4s"	1871	1871	"elite"	"Yates, Edmund Hodgson"	"Dr. Wainwright's patient"	"m"	"uk"	44	"Yates"
"uiuo.ark+=13960=t4rj5462f"	1871	1871	"elite"	"Yates, Edmund Hodgson"	"Dr. Wainwright's patient"	"m"	"uk"	44	"Yates"
"mdp.49015002676170"	1871	1871	"vulgar"	"Alger, Horatio"	"Paul the peddler"	"m"	"us"	101	"Alger"
"uiuo.ark+=13960=t8hd8j356"	1871	1871	"elite"	"Eliot, George"	"Middlemarch: a study of provincial life"	"f"	"uk"	562	"Eliot"
"wu.89098014699"	1871	1871	"elite"	"Chesebro', Caroline"	"The foe in the household"	"f"	"us"	11	"Chesebro'"
"uiuo.ark+=13960=t3gx4pc1g"	1871	1871	"vulgar"	"Fenn, George Manville"	"By birth a lady"	"m"	"uk"	68	"Fenn"
"uiuo.ark+=13960=t99606c4g"	1871	1871	"vulgar"	"Pomeroy, John"	"The Scandinavian ring. A novel"	"m"	"uk"	3	"Pomeroy"
"nyp.33433076079544"	1871	1871	"vulgar"	"Hazlett, Helen"	"The heights of Eidelberg"	"f"	"us"	3	"Hazlett"
"uiuo.ark+=13960=t0ks7cx66"	1871	1871	"elite"	"Eliot, George"	"Middlemarch: a study of provincial life"	"f"	"uk"	562	"Eliot"
"uiuo.ark+=13960=t4xh0999j"	1871	1871	"elite"	"Eliot, George"	"Middlemarch: a study of provincial life"	"f"	"uk"	562	"Eliot"
"uiuo.ark+=13960=t1tf0h21k"	1871	1871	"elite"	"Eliot, George"	"Middlemarch: a study of provincial life"	"f"	"uk"	562	"Eliot"
"uiuo.ark+=13960=t51g1d15h"	1871	1871	"elite"	"Eliot, George"	"Middlemarch: a study of provincial life"	"f"	"uk"	562	"Eliot"
"uiuo.ark+=13960=t3bz6fw2n"	1871	1871	"vulgar"	"Bell, Emily Ernst"	"A first appearance"	"f"	"uk"	3	"Bell"
"njp.32101065848267"	1871	1871	"vulgar"	"Murray, Eustace Clare Grenville"	"The member for Paris"	"m"	"uk"	15	"Murray"
"nyp.33433074808670"	1871	1871	"vulgar"	"Brotherhead, Alfred P[axton]"	"Himself his worst enemy"			2	"Brotherhead"
"uiuo.ark+=13960=t2x35dr9t"	1871	1871	"vulgar"	"Scott, Geo. G"	"Clumber chase; or, Love's riddle solved by a royal sphinx"	"m"	"uk"	3	"Scott"
"uc2.ark+=13960=t9t14ws52"	1871	1871	"vulgar"	"Weitzel, Sophie Winthrop"	"Miss Roberts' fortune"	"f"	"us"	1	"Weitzel"
"uiuo.ark+=13960=t9w09kf0m"	1871	1871	"vulgar"	"Marryat, Florence"	"The prey of the gods"	"f"	"uk"	83	"Marryat"
"nyp.33433074896105"	1871	1871	"vulgar"	"McLain, Mary Webster"	"Daisy Ward's work"			1	"McLain"
"uiuo.ark+=13960=t50g4c509"	1871	1871	"elite"	"Eliot, George"	"Middlemarch: a study of provincial life"	"f"	"uk"	562	"Eliot"
"dul1.ark+=13960=t1fj34z1f"	1871	1871	"elite"	"Lytton, Edward Bulwer Lytton"	"The coming race"	"m"	"uk"	671	"Lytton"
"uc2.ark+=13960=t5fb4z81t"	1871	1871	"vulgar"	"Greey, Edward"	"Blue jackets"	"m"	"uk"	11	"Greey"
"uiuo.ark+=13960=t6834h65s"	1871	1871	"elite"	"Eliot, George"	"Middlemarch: a study of provincial life"	"f"	"uk"	562	"Eliot"
"uc2.ark+=13960=t3610xb6c"	1871	1871	"vulgar"	"Harbert, Lizzie Boynton"	"Out of her sphere"	"f"	"us"	1	"Harbert"
"nyp.33433074961974"	1872	1872	"vulgar"	"anonymous3"	"Only three weeks"			0	"anonymous3"
"uc2.ark+=13960=t4mk66200"	1872	1872	"vulgar"	"Mathews, Joanna Hooe"	"Jessie's parrot"	"f"	"us"	6	"Mathews"
"uiuo.ark+=13960=t06x0132p"	1872	1872	"vulgar"	"Tucker, Marwood"	"Michael Tresidder"	"m"	"uk"	2	"Tucker"
"wu.89098026875"	1872	1872	"vulgar"	"Greenough, Richard S., Mrs"	"In extremis"	"f"	"us"	5	"Greenough"
"nyp.33433074890074"	1872	1889	"elite"	"Meredith, George"	"The adventures of Harry Richmond"	"m"	"uk"	500	"Meredith"
"uc2.ark+=13960=t6n010f2h"	1872	1873	"vulgar"	"Dorr, Julia C. R"	"Expiation"	"f"	"us"	7	"Dorr"
"uc1.b2791154"	1872	1872	"elite"	"Shand, Alexander Innes"	"Shooting the rapids"	"m"	"uk"	5	"Shand"
"nyp.33433081962098"	1872	1872	"vulgar"	"Wright, Julia McNair"	"Marion through the brush"	"f"	"us"	17	"Wright"
"njp.32101067643351"	1872	1872	"vulgar"	"Estvan, Mathilde"	"Harry Delaware"	"f"	"us"	2	"Estvan"
"uiuo.ark+=13960=t9668r34m"	1872	1872	"vulgar"	"Chatterton, Georgiana"	"The lost bride"	"f"	"uk"	32	"Chatterton"
"nnc1.cr60162589"	1872	1872	"vulgar"	"Paull, M. A"	"My parish and what happened in it / Mary Anna (Paull) Ripley"	"f"	"uk"	1	"Paull"
"uc2.ark+=13960=t5m902m17"	1872	1872	"elite"	"De Mille, James"	"The American baron"	"m"	"ca"	25	"De"
"uiuo.ark+=13960=t9k36cm5w"	1872	1872	"elite"	"Palgrave, William Gifford"	"Hermann Agha: an eastern narrative"	"m"	"uk"	4	"Palgrave"
"nyp.33433076066061"	1872	1872	"elite"	"Flagg, W. J"	"A good investment"	"m"	"us"	1	"Flagg"
