docid	allcopiesofwork	author	bestseller	contrast4reviewed	copiesin25yrs	earlyedition	firstpub	gender	heath	imprint	inferreddate	lastname	latestcomp	mostdiscussed	nationality	norton	nortonshort	preregistered	recordid	reviewed	title	inferrednation
uiuo.ark+=13960=t2s46xt21	3.0	Carter, Robert S	False	True	3.0	True	1855.0	m	False	London;T.C. Newby;1855.	1855	Carter	1855	False	uk	False	False	False	8723663.0	False	Talbot Hall	uk
mdp.39015031304689	2.0	Tarkington, Booth	True	False	2.0	True			False	Garden City, N.Y.|Doubleday, Doran|1928.	1928	Tarkington	1928	False		False	False	False	1186895.0	False	Claire Ambler	us
mdp.39015000695182	2.0	Atwood, Margaret	False	False	2.0	True	1972.0	f	False	Toronto|McClelland and Stewart|c1972	1972	Atwood	1972	False	ca	False	False	True	661800.0	False	Surfacing	ca
uc2.ark+=13960=t12n50h8q	2.0	Johnston, Mary	True	False	2.0	True			False	Boston;Houghton, Mifflin;1902.	1902	Johnston	1902	False		False	False	False	482843.0	False	Audrey	us
mdp.39015035798670	2.0	Williamson, C. N.	True	False	2.0	True	1905.0		False	New York;H. Holt and company;1905.	1905	Williamson	1905	False		False	False	False	326092.0	False	The princess passes	uk
mdp.39015010687682	1.0	De Vries, Peter	False	True	1.0	True	1943.0	m	False	New York|Coward-McCann, inc.|1943	1943	De	1943	False	us	False	False	False	540150.0	False	The handsome heart, | $c: by Peter De Vries.	us
mdp.39015065529813	4.0	Aldrich, Bess Streeter	True	False	4.0	True			False	New York|London|D. Appleton and company|1931.	1931	Aldrich	1931	False		False	False	False	1020857.0	False	A white bird flying	us
mdp.39015012918341	2.0	Deeping, Warwick	True	False	2.0	True			False	New York|A. R. Knopf|1927.	1927	Deeping	1927	False		False	False	False	485108.0	False	Doomsday	uk
uc2.ark+=13960=t3gx46m3s	1.0	(Alfred Greenwood), Hales, A. G	False	True	1.0	True	1922.0	m	False	London;T. Fisher Unwin;1922;(1923 printing)	1922	Alfred	1922	False	au	False	False	False	7660842.0	False	M'Glusky	au
nyp.33433075727689	2.0	Footner, Hulbert	False	True	2.0	True	1920.0	m	False	New York;James A. McCann;1920.	1920	Footner	1920	False	ca	False	False	False	7657611.0	False	The fur bringers	ca
mdp.39015019967010	1.0	Bergman, Hjalmar	False	True	1.0	True	1919.0	m	False	New York|A. A. Knopf|1924.	1924	Bergman	1919	False	sw	False	False	False	1199832.0	False	God's orchid;	sw
nyp.33433076026172	1.0	Smith, Francis Hopkinson,	True	False	1.0	True	1908.0		False	New York;C. Scribner's Sons;1908.	1908	Smith	1908	False		False	False	False	8690441.0	False	Peter;	us
uiuo.ark+=13960=t2891hq0x	3.0	Cornwallis, Kinahan	False	True	3.0	True	1859.0	m	False	London;T.C. Newby;1859.	1859	Cornwallis	1859	False	uk	False	False	False	8724394.0	False	Wreck and ruin: or, Modern society	uk
mdp.39015063753738	4.0	Atherton, Gertrude Franklin Horn	True	False	4.0	True			False	New York|A. L. Burt company|c1923	1923	Atherton	1923	False		False	False	False	244561.0	False	Black oxen	us
