docid	author	title	inferreddate	latestcomp	firstpub	allcopiesofwork	copiesin25yrs	gender	nationality	earlyedition	lastname	imprint	norton	heath	nortonshort	mostdiscussed	preregistered	reviewed	contrast4reviewed	bestseller
mdp.39015063949526	Elinor Mordaunt	Too Much Java	1928	1928.0	1928.0	1.0	1.0	f	uk	True	Elinor	New York|Payson & Clarke, ltd.|1928.	False	False	False	False	False	True	False	False
mdp.39015005096006	Jewett, Sarah Orne	The Tory lover	1901	1901.0	1901.0			f	us		Jewett	Boston;New York;Houghton, Mifflin and company;1901.	False	False	False	False	False	True	False	False
mdp.39015010387036	Winsor, Kathleen	Forever Amber	1944	1944.0		2.0	1.0			True	Winsor	London|Macdonald|1944	False	False	False	False	False	False	False	True
uc1.b4097394	Ferber, Edna	So big.	1924	1924.0	1924.0	7.0	4.0	f	us	True	Ferber	New York|Grosset & Dunlap|1924.	False	False	False	False	False	True	False	True
uc2.ark+=13960=t86h4jj86	Ainsworth, William Harrison	The flitch of bacon, or The custom of Dunmow;	1854	1854.0	1854.0	6.0	2.0	m	uk	True	Ainsworth	London;Routledge;1854	False	False	False	False	False	False	True	False
uc2.ark+=13960=t6rx9gk2c	Black, William	Sabina Zembra	1887	1887.0	1887.0	4.0	4.0	m	uk	True	Black	London;and New York;Macmillan and Co.;1887.	False	False	False	False	False	True	False	False
uc1.$b244184	Fisher, Dorothy Canfield	The home-maker	1924	1924.0		2.0	2.0			True	Fisher	New York|Harcourt, Brace and Company|c1924	False	False	False	False	False	False	False	True
mdp.39015034646565	Landon, Margaret	Anna and the King of Siam	1944	1944.0		4.0	4.0			True	Landon	New York|J. Day|1944	False	False	False	False	False	False	False	True
uiuo.ark:/13960/t5t72p82m	Besant, Walter,	The golden butterfly	1876	1876.0	1876.0			m	uk		Besant		False	False	False	False	False	False	False	True
njp.32101068175031	Tindal, Henrietta Euphemia	The heirs of Blackridge Manor	1856	1856.0	1856.0	3.0	3.0	f	uk	True	Tindal	London;Chapman and Hall;1856.	False	False	False	False	False	False	True	False
uiuo.ark:/13960/t8hd8767s	Grant, James,	The romance of war	1846	1856.0	1856.0			m			Grant		False	False	False	False	False	False	False	True
uc1.$b101564	Ertz, Susan	The galaxy	1929	1929.0		4.0	4.0			True	Ertz	New York|D. Appleton & company|1929.	False	False	False	False	False	False	False	True
nyp.33433076045701	Michelson, Miriam	In the bishop's carriage	1904	1904.0		3.0	3.0			True	Michelson	Indianapolis;The Bobbs-Merrill Company;1904	False	False	False	False	False	False	False	True
uc1.b3579188	Barlow, Jane	The founding of fortunes	1902	1902.0	1902.0			f	ir		Barlow	London;Methuen;1902.	False	False	False	False	False	True	False	False
mdp.39015014519006	Uris, Leon	Mitla Pass	1988	1988.0		1.0	1.0			True	Uris	New York|Doubleday|c1988.	False	False	False	False	False	False	False	True
uc1.32106011012165	Rice, Anne	The tale of the body thief	1992	1992.0		1.0	1.0			True	Rice	New York|Knopf|Distributed by Random House|1992.	False	False	False	False	False	False	False	True
